Input PDF,Output Folder 1,PDF Count 1,Output Folder 2,PDF Count 2,Similarity,Action Needed
Paul McCartney\Paul McCartney - All The Best.pdf,Paul Mccartney\Paul McCartney - All The Best,22,Paul Mccartney\Paul McCartney - Flowers In The Dirt,14,100.0% vs 73.8%,Compare and choose
Paul McCartney\Paul McCartney - Flowers In The Dirt.pdf,Paul Mccartney\Paul McCartney - Flowers In The Dirt,14,Paul Mccartney\Paul McCartney - All The Best,22,100.0% vs 73.8%,Compare and choose
Paul McCartney\Paul McCartney - Press To Play.pdf,Paul Mccartney\Paul McCartney - Press To Play,14,Paul Mccartney\Paul McCartney - Ram,10,100.0% vs 76.0%,Compare and choose
Paul McCartney\Paul McCartney - Ram.pdf,Paul Mccartney\Paul McCartney - Ram,10,Paul Mccartney\Paul McCartney - Press To Play,14,100.0% vs 76.0%,Compare and choose
Paul McCartney\Paul Mccartney - Tripping The Live Fantastic _PVG Book_.pdf,Paul Mccartney\Paul Mccartney - Tripping The Live Fantastic _PVG Book_,38,Paul Mccartney\Paul Mccartney - Tug Of War _PVG Book_,11,100.0% vs 71.0%,Compare and choose
Paul McCartney\Paul Mccartney - Tug Of War _PVG Book_.pdf,Paul Mccartney\Paul Mccartney - Tug Of War _PVG Book_,11,Paul Mccartney\Paul Mccartney - Tripping The Live Fantastic _PVG Book_,38,100.0% vs 71.0%,Compare and choose
Pink\Pink - Im Not Dead _PVG Book_.pdf,Pink\Pink - Im Not Dead _PVG Book_,10,Pink\Pink - Missundaztood _PVG Book_,1,100.0% vs 73.3%,Compare and choose
Pink\Pink - Missundaztood _PVG Book_.pdf,Pink\Pink - Missundaztood _PVG Book_,1,Pink\Pink - Im Not Dead _PVG Book_,10,100.0% vs 76.7%,Compare and choose
Pink Floyd\Pink Floyd - Pink Floyd Songbook.pdf,Pink Floyd\Pink Floyd - Pink Floyd Songbook,10,Pink Floyd\Pink Floyd - Anthology _book_,38,100.0% vs 72.1%,Compare and choose
Pink Floyd\Pink Floyd - The Wall _PVG_.pdf,Pink Floyd\Pink Floyd - The Wall _PVG_,23,Pink Floyd\Pink Floyd - Anthology _PVG_,38,100.0% vs 80.0%,Compare and choose
