"Artist","BookName","SourcePath","ProcessedFolder","PDFCount","Status"
"Carpenters","Carpenters - Anthology","C:\Work\AWSMusic\SheetMusic\Carpenters\Books\Carpenters - Anthology.pdf","ProcessedSongs\Carpenters\Anthology","43","EXPANDED"
"Carpenters","Carpenters - Love Songs","C:\Work\AWSMusic\SheetMusic\Carpenters\Books\Carpenters - Love Songs.pdf","ProcessedSongs\Carpenters\Love Songs","22","EXPANDED"
"Carpenters","Carpenters - Note For Note","C:\Work\AWSMusic\SheetMusic\Carpenters\Books\Carpenters - Note For Note.pdf","ProcessedSongs\Carpenters\Note For Note","11","EXPANDED"
"Cheap Trick","Cheap Trick - Greatest Hits [Score]","C:\Work\AWSMusic\SheetMusic\Cheap Trick\Books\Cheap Trick - Greatest Hits [Score].pdf","ProcessedSongs\Cheap Trick\Cheap Trick - Greatest Hits [score]","1","EXPANDED"
"Colbie Caillat","Colbie Caillat - Breakthrough [PVG Book]","C:\Work\AWSMusic\SheetMusic\Colbie Caillat\Books\Colbie Caillat - Breakthrough [PVG Book].pdf","ProcessedSongs\Colbie Caillat\Breakthrough [pvg Book]","13","EXPANDED"
"Cole Porter","Cole Porter - The Very Best Of Cole Porter","C:\Work\AWSMusic\SheetMusic\Cole Porter\Books\Cole Porter - The Very Best Of Cole Porter.pdf","ProcessedSongs\Cole Porter\The Very Best Of Cole Porter","38","EXPANDED"
"Cream","Cream - Cream Complete","C:\Work\AWSMusic\SheetMusic\Cream\Books\Cream - Cream Complete.pdf","ProcessedSongs\Cream\Cream Complete","25","EXPANDED"
"Creedence Clearwater Revival","Creedence Clearwater Revival - 8 Pcs Book","C:\Work\AWSMusic\SheetMusic\Creedence Clearwater Revival\Books\Creedence Clearwater Revival - 8 Pcs Book.pdf","ProcessedSongs\Creedence Clearwater Revival\8 Pcs Book","8","EXPANDED"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Best Of","C:\Work\AWSMusic\SheetMusic\Creedence Clearwater Revival\Books\Creedence Clearwater Revival - Best Of.pdf","ProcessedSongs\Creedence Clearwater Revival\Best Of","20","EXPANDED"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Guitar Anthology","C:\Work\AWSMusic\SheetMusic\Creedence Clearwater Revival\Books\Creedence Clearwater Revival - Guitar Anthology.pdf","ProcessedSongs\Creedence Clearwater Revival\Guitar Anthology","20","EXPANDED"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Guitar Tab Book","C:\Work\AWSMusic\SheetMusic\Creedence Clearwater Revival\Books\Creedence Clearwater Revival - Guitar Tab Book.pdf","ProcessedSongs\Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Tab Book","7","EXPANDED"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Ultimate Minus One","C:\Work\AWSMusic\SheetMusic\Creedence Clearwater Revival\Books\Creedence Clearwater Revival - Ultimate Minus One.pdf","ProcessedSongs\Creedence Clearwater Revival\Ultimate Minus One","7","EXPANDED"
"Crosby Stills and Nash","Crosby Stills Nash & Young - Deja Vu [PVG Book]","C:\Work\AWSMusic\SheetMusic\Crosby Stills and Nash\Books\Crosby Stills Nash & Young - Deja Vu [PVG Book].pdf","ProcessedSongs\Crosby Stills And Nash\Crosby Stills Nash & Young - Deja Vu [pvg Book]","21","EXPANDED"
"Crosby Stills and Nash","Crosby, Stills, Nash & Young - The Guitar Collection","C:\Work\AWSMusic\SheetMusic\Crosby Stills and Nash\Books\Crosby, Stills, Nash & Young - The Guitar Collection.pdf","","0","NOT_EXPANDED"
"Crowded House","Crowded House - The Very Best Of [PVG Book]","C:\Work\AWSMusic\SheetMusic\Crowded House\Books\Crowded House - The Very Best Of [PVG Book].pdf","ProcessedSongs\Crowded House\The Very Best Of [pvg Book]","19","EXPANDED"
