"Artist","Book","OriginalFilename","NewFilename","WillRename","OriginalPath","NewPath"
"Allman Brothers","Best Of [pvg]","By Sonny Boy Williamson, Elmore James And Marshall Sehorn - One Way Out.pdf","Allman Brothers - One Way Out.pdf","True","Allman Brothers\Best Of [pvg]\Songs\By Sonny Boy Williamson, Elmore James And Marshall Sehorn - One Way Out.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - One Way Out.pdf"
"Allman Brothers","Best Of [pvg]","Dickey Betts - Blue Sky.pdf","Allman Brothers - Blue Sky.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Dickey Betts - Blue Sky.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Blue Sky.pdf"
"Allman Brothers","Best Of [pvg]","Dickey Betts - Jessica.pdf","Allman Brothers - Jessica.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Dickey Betts - Jessica.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Jessica.pdf"
"Allman Brothers","Best Of [pvg]","Dickey Betts - Ramblin' Man.pdf","Allman Brothers - Ramblin' Man.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Dickey Betts - Ramblin' Man.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Ramblin' Man.pdf"
"Allman Brothers","Best Of [pvg]","Dickey Betts - Revival.pdf","Allman Brothers - Revival.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Dickey Betts - Revival.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Revival.pdf"
"Allman Brothers","Best Of [pvg]","Dickey Betts - Seven Turns.pdf","Allman Brothers - Seven Turns.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Dickey Betts - Seven Turns.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Seven Turns.pdf"
"Allman Brothers","Best Of [pvg]","Dickey Betts And Don Johnson - Can't Take It With You.pdf","Allman Brothers - Can't Take It With You.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Dickey Betts And Don Johnson - Can't Take It With You.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Can't Take It With You.pdf"
"Allman Brothers","Best Of [pvg]","Dickey Betts And Johnny Cobb - Straight From The Heart.pdf","Allman Brothers - Straight From The Heart.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Dickey Betts And Johnny Cobb - Straight From The Heart.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Straight From The Heart.pdf"
"Allman Brothers","Best Of [pvg]","Dickey Betts, Mike Lawlier And Johnny Cobb - Angeline.pdf","Allman Brothers - Angeline.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Dickey Betts, Mike Lawlier And Johnny Cobb - Angeline.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Angeline.pdf"
"Allman Brothers","Best Of [pvg]","Gregg Allman - Ain't Wastin' Time No More.pdf","Allman Brothers - Ain't Wastin' Time No More.pdf","True","Allman Brothers\Best Of [pvg]\Songs\Gregg Allman - Ain't Wastin' Time No More.pdf","Allman Brothers\books\Best Of [pvg]\Allman Brothers - Ain't Wastin' Time No More.pdf"
