artist,book,is_duplicate,file_count
James Taylor,Classics (guitar Tab),False,15
James Taylor,James Taylor - Classic [guitar],False,11
James Taylor,James Taylor - Classics (guitar Tab),False,10
James Taylor,James Taylor - Guitar Songbook,False,14
James Taylor,James Taylor - James Taylor Songbook,False,18
James Taylor,James Taylor - James Taylor [pvg Book],False,12
James Taylor,James Taylor - That's Why I'm Here [pvg Book],False,6
James Taylor,James Taylor Songbook,False,24
Jim Croce,Jim Croce - Acoustic Fingerstyle Video Guitar Lessons,False,1
Joe Cocker,Joe Cocker - Best Of,False,11
Joe Cocker,Joe Cocker - Mad Dogs And Englishmen [book],False,10
John Denver,John Denver - Anthology [pvg],False,15
John Denver,John Denver - Anthology,False,19
John Denver,John Denver - Best Of [easy Piano],False,6
John Denver,John Denver - I Want To Live [pvg Book],False,5
John Denver,John Denver - The Authentic Guitar Style Of,False,5
John Lennon,John Lennon - Collection,False,2
John Lennon,John Lennon - Greatest Hits,False,9
Joni Mitchell,Joni Mitchell - The Best Of [pvg],False,8
Journey,Complete,False,68
Journey,Greatest Hits (book),False,5
Journey,Journey - Complete Songbook,False,24
Journey,Journey - Complete,False,24
Journey,Journey - Greatest Hits (book),False,4
Journey,Journey - Greatest Hits,False,9
Journey,Journey - Superbest [jap Band Score],False,1
Journey,Journey - The Guitar Collection,False,12
Journey,The Guitar Collection,False,16
Judy Garland,Judy Garland - Songbook,False,3
Katy Perry,Katy Perry - One Of The Boys [pvg Book],False,6
Kelly Clarkson,Breakaway (book),False,2
Kenny Rogers,Kenny Rogers - Love Or Something Like It [book],False,2
Kinks,Best Of [score],False,12
Kinks,Guitar Legends [tab],False,9
Kinks,Kinks - Best Of The Kinks [score],False,9
Kinks,Kinks - Best Of [score],False,9
Kinks,Kinks - Great Songs Of Kinks,False,5
Kinks,Kinks - Guitar Legends [guitar],False,1
Kinks,Kinks - Guitar Legends [tab],False,9
Kinks,Kinks - Jam With The Kinks [tab],False,4
Lynyrd Skynyrd,The New Best Of [guitar Tab],False,5
Meatloaf,Bat Out Of Hell,False,1
Melissa Etheridge,Melissa Etheridge - Songbook,False,3
Michael Jackson,Michael Jackson - Great Songs Of [pvg],False,3
Michael Jackson,Michael Jackson - Number Ones [book],False,10
Michael Jackson,Michael Jackson - Number Ones,False,8
Michael Jackson,Michael Jackson - The Great Songs Of,False,5
Michael Jackson,Michael Jackson - Thriller (the Complete Song Book),False,3
Michael Jackson,Number Ones,False,18
Monkees,Monkees - Greatest Hits,False,4
Moody Blues,Moody Blues - Greatest Hits [pvg],False,6
Moody Blues,Moody Blues - Keys Of Kingdom [band Score],False,1
Neil Diamond,Neil Diamond - The Essential Neil Diamond,False,15
Neil Young,Decade,False,22
Neil Young,Neil Young - After The Goldrush [pvg Book],False,4
Neil Young,Neil Young - Decade [pvg Book],False,6
Neil Young,Neil Young - Decade,False,12
Neil Young,Neil Young - Greatest Hits [guitar Tab],False,8
Neil Young,Neil Young - Harvest Moon [guitar Tab],False,2
Neil Young,Neil Young - Harvest [score],False,5
Neil Young,Neil Young - The Best Of Neil Young [pvg Book],False,3
Night Ranger,Night Ranger - Seven Wishes [jap Score],False,4
Night Ranger,Seven Wishes [jap Score],False,10
Paul Mccartney,Paul Mccartney - All The Best,False,16
Paul Mccartney,Paul Mccartney - Chaos And Creation In The Backyard [pvg Book],False,7
Paul Mccartney,Paul Mccartney - Flowers In The Dirt,False,5
Paul Mccartney,Paul Mccartney - Press To Play,False,10
Paul Mccartney,Paul Mccartney - Ram,False,8
Paul Mccartney,Paul Mccartney - Tripping The Live Fantastic [pvg Book],False,14
Paul Mccartney,Paul Mccartney - Tug Of War [pvg Book],False,4
Paul Simon,Paul Simon - Anthology,False,47
Peter Frampton,Peter Frampton - The Best Of [guitar Tab],False,7
Pink Floyd,Anthology - P110-175,False,1
Pink Floyd,Anthology - P58-109,False,1
Pink Floyd,Anthology [pvg],False,38
Pink Floyd,Dark Side Of The Moon [pvg],False,1
Pink Floyd,Dark Side Of The Moon,False,1
Pink Floyd,Pink Floyd - Anthology (book),False,12
Pink Floyd,Pink Floyd - Anthology - P110-175,False,1
Pink Floyd,Pink Floyd - Anthology - P58-109,False,1
Pink Floyd,Pink Floyd - Anthology [pvg],False,35
Pink Floyd,Pink Floyd - Dark Side Of The Moon [pvg],False,1
Pink Floyd,Pink Floyd - The Wall [pvg],False,1
Pink Floyd,Pink Floyd - Wish You Were Here [pvg],False,10
Pink Floyd,Pink Floyd - Wish You Were Here,False,10
Pink Floyd,Pink Floyd Songbook,False,10
Pink Floyd,Wish You Were Here,False,11
Pink,Pink - I'm Not Dead [pvg Book],False,8
Police,Police - The Great Songs Of The Police,False,2
Pretenders,Pretenders - Best Of Pretenders,False,11
Prince,Prince - Purple Rain [score],False,4
Queen,Greatest Hits,False,1
Queen,Queen - Deluxe Anthology [pvg],False,10
Queen,Queen - Greatest Hits 1 [score],False,2
Queen,Queen - Greatest Hits Ii [pvg],False,6
Queen,Queen - Greatest Hits,False,1
Queen,Queen - Hit Songs,False,6
Randy Newman,Randy Newman - Collection,False,11
Reo Speedwagon,Reo Speedwagon - Hi Infidelity,False,1
Reo Speedwagon,Reo Speedwagon - The Hits,False,2
Robbie Robertson,Robbie Robertson - Songbook [guitar Tab],False,12
Rod Stewart,Rod Stewart - The Great American Songbook,False,11
Rolling Stones,Rolling Stones - Best Of Rolling Stones 1963-1973 Piano Songbook,False,12
Rolling Stones,Rolling Stones - Let It Bleed [guitar Tab],False,5
Rolling Stones,Rolling Stones - Sticky Fingers [score],False,3
Roy Orbison,Roy Orbison - Greatest Hits,False,14
Santana,Santana - Off The Record,False,3
Scott Joplin,Scott Joplin - The Best Of,False,5
Shania Twain,Shania Twain - Greatest Hits,False,4
Shania Twain,Shania Twain - Up! [pvg Book],False,9
Sheryl Crow,Sheryl Crow - Tuesday Night Music Club [pvg Book],False,7
Sheryl Crow,Sheryl Crow - Very Best,False,8
Spice Girls,Spice Girls - Greatest Hits,False,9
Steve Miller Band,Steve Miller Band - 13 Biggest Hits,False,2
Steve Miller Band,Steve Miller Band - Rock Best Hits [jap Score],False,5
Steve Winwood,Steve Winwood - Arc Of A Diver [pvg Book],False,3
Steve Winwood,Steve Winwood - The Great Songs Of,False,3
Supertramp,Supertramp - Anthology,False,6
Supertramp,Supertramp - Breakfast In America [pvg Book],False,3
Supertramp,Supertramp - Crime Of The Century [book],False,4
Survivor,Survivor - Greatest Hits,False,3
Taylor Swift,Taylor Swift - Best Of [easy Piano],False,7
Taylor Swift,Taylor Swift - Fearless [pvg Book],False,3
Taylor Swift,Taylor Swift - Speak Now [pvg Book],False,12
Taylor Swift,Taylor Swift - Taylor Swift [guitar Compilation],False,3
Taylor Swift,Taylor Swift - Taylor Swift,False,7
Taylor Swift,Taylor Swift,False,11
The Band,The Band - Rock Of Ages [pvg Book],False,3
The Band,The Band - The Band And Music From Big Pink,False,14
Tom Waits,Tom Waits - Anthology,False,24
Tori Amos,Tori Amos - [book] Anthology,False,18
Toto,Collection,False,13
Toto,Toto - Best Of,False,3
Toto,Toto - Collection,False,4
Toto,Toto - Past To Present [book],False,3
Usic,Acdc - Anthology,False,3
Usic,Adele - 19 [pvg Book],False,12
Van Morrison,Van Morrison - Anthology (2),False,9
Van Morrison,Van Morrison - Anthology,False,11
Van Morrison,Van Morrison - Back On Top [book],False,4
Van Morrison,Van Morrison - Days Like These (book),False,3
Various Artists,50's And 60's,False,1
Various Artists,70's Collection - (57pp),False,1
Various Artists,Best Rock Songs 2000-2005,False,18
Various Artists,Chart Hits 01-02,False,1
Various Artists,Great Bands Of The 70s,False,21
Various Artists,Greatest Love Songs Of The 80s,False,25
Various Artists,Music For The Millennium The Seventies,False,17
Various Artists,The Decade Series - The 1980s,False,30
Various Artists,The Greatest Love Songs Of The 80s,False,25
Various Artists,Various Artists - 100 Songs For Kids - (easy Guitar Songbook),False,37
Various Artists,Various Artists - 50 Platinum Country Hits,False,33
Various Artists,Various Artists - 50's And 60's,False,1
Various Artists,Various Artists - 557 Standards (sheet Music - Piano)(2),False,174
Various Artists,Various Artists - 62 Stars 62 Hits [60's Compilation],False,19
Various Artists,Various Artists - 70's Collection - (57pp),False,8
Various Artists,Various Artists - 70's Hits [easy Piano],False,13
Various Artists,Various Artists - Adult Contemporary Hits Of The Nineties,False,10
