BookFolder,NormalizedName,PDFCount,TotalFiles,IsDuplicate,DuplicateCount
Crowded House/Together Alone [pvg Book],Crowded House/Together Alone [pvg Book],13,13,Yes,2
David Crosby/David Crosby - Songbook [lead Sheets],David Crosby/Songbook [lead Sheets],1,1,Yes,2
David Crosby/Songbook [lead Sheets],David Crosby/Songbook [lead Sheets],1,1,Yes,2
Dire Straits/Best Of Dire Straits [guitar Tab],Dire Straits/Best Of Dire Straits [guitar Tab],22,22,Yes,2
Dire Straits/Brothers In Arms,Dire Straits/Brothers In Arms,1,1,Yes,2
Dire Straits/Dire Straits - Best Of Dire Straits [guitar Tab],Dire Straits/Best Of Dire Straits [guitar Tab],6,6,Yes,2
Dire Straits/Dire Straits - Brothers In Arms,Dire Straits/Brothers In Arms,9,9,Yes,2
Dire Straits/Dire Straits - Jam With Dire Straits [guitar Book],Dire Straits/Jam With Dire Straits [guitar Book],5,5,Yes,2
Dire Straits/Dire Straits - Mark Knopfler Guitar Styles Vol 1 [guitar Book],Dire Straits/Mark Knopfler Guitar Styles Vol 1 [guitar Book],3,3,No,1
Dire Straits/Dire Straits - Money For Nothing [guitar Book],Dire Straits/Money For Nothing [guitar Book],1,1,Yes,2
Dire Straits/Great Bands Of The 70s,Dire Straits/Great Bands Of The 70s,1,1,No,1
Dire Straits/Jam With Dire Straits [guitar Book],Dire Straits/Jam With Dire Straits [guitar Book],8,8,Yes,2
Dire Straits/Money For Nothing [guitar Book],Dire Straits/Money For Nothing [guitar Book],1,1,Yes,2
Don Henley/Actual Miles (greatest Hits),Don Henley/Actual Miles (greatest Hits),1,1,Yes,2
Don Henley/Don Henley - Actual Miles (greatest Hits),Don Henley/Actual Miles (greatest Hits),3,3,Yes,2
Don Henley/Don Henley - The End Of The Innocence [pvg Book],Don Henley/The End Of The Innocence [pvg Book],5,5,Yes,2
Don Henley/The End Of The Innocence [pvg Book],Don Henley/The End Of The Innocence [pvg Book],10,10,Yes,2
Doobie Brothers/Best Of [band Score Jap],Doobie Brothers/Best Of [band Score Jap],1,1,Yes,2
Doobie Brothers/Doobie Brothers - Best Of [band Score Jap],Doobie Brothers/Best Of [band Score Jap],1,1,Yes,2
Doobie Brothers/Doobie Brothers - Songs,Doobie Brothers/Songs,4,4,Yes,2
Doobie Brothers/Songs,Doobie Brothers/Songs,9,9,Yes,2
Doors/Anthology,Doors/Anthology,7,7,Yes,2
Doors/Doors - Anthology,Doors/Anthology,7,7,Yes,2
Doors/Doors - Songbook,Doors/Songbook,2,2,Yes,2
Doors/Songbook,Doors/Songbook,6,6,Yes,2
Dr John/New Orleans Piano Vol 2,Dr John/New Orleans Piano Vol 2,3,3,No,1
Dr. Hook/Great Bands Of The 70s,Dr. Hook/Great Bands Of The 70s,1,1,No,1
Duran Duran/Best Of [score],Duran Duran/Best Of [score],19,19,Yes,2
Duran Duran/Decade [pvg Book],Duran Duran/Decade [pvg Book],14,14,Yes,2
Duran Duran/Duran Duran - Best Of [score],Duran Duran/Best Of [score],1,1,Yes,2
Duran Duran/Duran Duran - Decade [pvg Book],Duran Duran/Decade [pvg Book],6,6,Yes,2
Duran Duran/Duran Duran - Seven & The Ragged Tiger [jap Band Score],Duran Duran/Seven & The Ragged Tiger [jap Band Score],5,5,Yes,2
Duran Duran/Seven & The Ragged Tiger [jap Band Score],Duran Duran/Seven & The Ragged Tiger [jap Band Score],8,8,Yes,2
Eagles/Eagles - Greatest Hits,Eagles/Greatest Hits,3,3,Yes,2
Eagles/Eagles - Greatest Hits (1971-1975),Eagles/Greatest Hits (1971-1975),2,2,Yes,2
Eagles/Eagles - Hotel California (guitar Songbook),Eagles/Hotel California (guitar Songbook),1,1,Yes,2
Eagles/Eagles - Made Easy For Guitar,Eagles/Made Easy For Guitar,4,4,Yes,2
Eagles/Eagles - New Eagles Complete,Eagles/New Eagles Complete,27,27,Yes,2
Eagles/Eagles - The Best Of The Eagles - Songbook,Eagles/The Best Of The Eagles - Songbook,3,3,Yes,2
Eagles/Greatest Hits,Eagles/Greatest Hits,10,10,Yes,2
Eagles/Greatest Hits (1971-1975),Eagles/Greatest Hits (1971-1975),10,10,Yes,2
Eagles/Hotel California (guitar Songbook),Eagles/Hotel California (guitar Songbook),1,1,Yes,2
Eagles/Made Easy For Guitar,Eagles/Made Easy For Guitar,6,6,Yes,2
Eagles/New Eagles Complete,Eagles/New Eagles Complete,67,67,Yes,2
Eagles/The Best Of The Eagles - Songbook,Eagles/The Best Of The Eagles - Songbook,12,12,Yes,2
Elo/A New World Record,Elo/A New World Record,7,7,Yes,2
Elo/Anthology [pvg],Elo/Anthology [pvg],32,32,Yes,2
Elo/Discovery [pvg Book],Elo/Discovery [pvg Book],1,1,Yes,2
Elo/Elo - A New World Record,Elo/A New World Record,1,1,Yes,2
Elo/Elo - Anthology [pvg],Elo/Anthology [pvg],15,15,Yes,2
Elo/Elo - Discovery [pvg Book],Elo/Discovery [pvg Book],7,7,Yes,2
Elo/Elo - Face The Music [pvg Bok],Elo/Face The Music [pvg Bok],2,2,Yes,2
Elo/Elo - Greatest Hits,Elo/Greatest Hits,2,2,Yes,2
Elo/Elo - Out Of The Blue [book],Elo/Out Of The Blue [book],1,1,Yes,2
Elo/Elton John - The Elton John Collection [piano Solos],Elo/Elton John - The Elton John Collection [piano Solos],29,29,No,1
