Artist,Book,SongCount,SampleSong
Dire Straits,Brothers In Arms,1,Words & Music By Mark Knopfler - Brothers In Arms.pdf
Dire Straits,Dire Straits - Best Of Dire Straits [guitar Tab],6,"Dire Straits - Boom, Like That.pdf"
Dire Straits,Dire Straits - Brothers In Arms,9,Dire Straits - Brothers In Arms.pdf
Dire Straits,Dire Straits - Jam With Dire Straits [guitar Book],5,Dire Straits - Brothers In Arms.pdf
Dire Straits,Dire Straits - Mark Knopfler Guitar Styles Vol 1 [guitar Book],3,Dire Straits - Love Over Gold.pdf
Dire Straits,Dire Straits - Money For Nothing [guitar Book],1,Dire Straits - Sultans Of Swing.pdf
Dire Straits,Great Bands Of The 70s,1,Dire Straits - Sultans Of Swing.pdf
Dire Straits,Jam With Dire Straits [guitar Book],8,Mark Knopfler & Sting - Money For Nothing.pdf
Dire Straits,Money For Nothing [guitar Book],1,Mark Knopfler - Sultans Of Swing.pdf
Don Henley,Actual Miles (greatest Hits),1,Don Henley And Danny Kortchmar - Dirty Laundry.pdf
Don Henley,Don Henley - Actual Miles (greatest Hits),3,Don Henley - All She Wants To Do Is Dance.pdf
Don Henley,Don Henley - The End Of The Innocence [pvg Book],5,Don Henley - How Bad Do You Want It-.pdf
Don Henley,The End Of The Innocence [pvg Book],10,Don Henley And B.r. Hornsby - The End Of The Innocence.pdf
Doobie Brothers,Best Of [band Score Jap],1,Unknown Artist - China Grove.pdf
Doobie Brothers,Doobie Brothers - Best Of [band Score Jap],1,Doobie Brothers - China Grove.pdf
Doobie Brothers,Doobie Brothers - Songs,4,Doobie Brothers - Clear As The Driven Snow.pdf
Doobie Brothers,Songs,9,Doobie Brothers - What A Fool Believes.pdf
Doors,Anthology,7,(the Doors) - La Woman.pdf
Doors,Doors - Anthology,7,"Doors - Hello, I Love You.pdf"
Doors,Doors - Songbook,2,Doors - Break On Through.pdf
Doors,Songbook,6,The Doors - Break On Through.pdf
Dr John,New Orleans Piano Vol 2,3,Unknown Artist - Charles Brown Style-major-minor Blues.pdf
Dr. Hook,Great Bands Of The 70s,1,Dr. Hook - When You're In Love With A Beautiful Woman.pdf
Duran Duran,Best Of [score],19,(no Clear Artist Name Provided) - Duran Duran.pdf
Duran Duran,Decade [pvg Book],14,Duran Duran (words And Music By) - Girls On Film.pdf
Duran Duran,Duran Duran - Best Of [score],1,Duran Duran - Rio.pdf
Duran Duran,Duran Duran - Decade [pvg Book],6,Duran Duran - All She Wants Is.pdf
Duran Duran,Duran Duran - Seven & The Ragged Tiger [jap Band Score],5,Duran Duran - (i'm Looking For) Cracks In The Pavement.pdf
Duran Duran,Seven & The Ragged Tiger [jap Band Score],8,By Dario Marianelli - Of Crime And Passion.pdf
Eagles,Eagles - Greatest Hits,3,Eagles - Already Gone.pdf
Eagles,Eagles - Greatest Hits (1971-1975),2,Eagles - Desperado.pdf
Eagles,Eagles - Hotel California (guitar Songbook),1,Eagles - Hotel California.pdf
Eagles,Eagles - Made Easy For Guitar,4,Eagles - Already Gone.pdf
Eagles,Eagles - New Eagles Complete,27,Eagles - Already Gone.pdf
Eagles,Eagles - The Best Of The Eagles - Songbook,3,Eagles - Peaceful Easy Feeling.pdf
Eagles,Greatest Hits,10,Bernie Leadon And Don Henley - Witchy Woman.pdf
Eagles,Greatest Hits (1971-1975),10,Bernie Leadon And Don Henley - Witchy Woman.pdf
Eagles,Hotel California (guitar Songbook),1,"Don Felder, Don Henley And Glenn Frey - Hotel California.pdf"
Eagles,Made Easy For Guitar,6,Unknown Artist - Already Gone.pdf
Eagles,New Eagles Complete,67,Bernie Leadon & Don Henley - Witchy Woman.pdf
Eagles,The Best Of The Eagles - Songbook,12,Bernie Leadon And Don Henley - Witchy Woman.pdf
Elo,A New World Record,7,Jeff Lynne - Do Ya.pdf
Elo,Anthology [pvg],32,Elo - 10538 Overture.pdf
Elo,Discovery [pvg Book],1,Bey Daydo - Shine A Little Love.pdf
Elo,Elo - A New World Record,1,Elo - Livin' Thing.pdf
Elo,Elo - Anthology [pvg],15,Elo - Above The Clouds.pdf
Elo,Elo - Discovery [pvg Book],7,Elo - Confusion.pdf
Elo,Elo - Face The Music [pvg Bok],2,Elo - Fire On High.pdf
Elo,Elo - Greatest Hits,2,Elo - Can't Get It Out Of My Head.pdf
Elo,Elo - Out Of The Blue [book],1,Elo - Turn To Stone.pdf
Elo,Elton John - The Elton John Collection [piano Solos],29,Elton John And Bernie Taupin - Believe.pdf
Elo,Face The Music [pvg Bok],2,Jeff Lynne - Fire On High.pdf
Elo,Greatest Hits,1,Jeff Lynne - Can't Get It Out Of My Head.pdf
Elo,Out Of The Blue [book],1,Unknown Artist - Turn To Stone.pdf
Elton John,A Single Man,10,Elton John & Gary Osborn - Part Time Love.pdf
Elton John,Captain Fantastic,1,Elton John & Bernie Taupin - (gotta Get A) Meal Ticket.pdf
Elton John,Elton John - A Single Man,6,Elton John - Big Dipper.pdf
Elton John,Elton John - Goodbye Yellow Brick Road,2,Elton John - All The Girls Love Alice.pdf
Elton John,Elton John - Greatest Hits 1970-2002,19,Elton John - Blue Eyes.pdf
Elton John,Elton John - Ice On Fire,6,Elton John - Candy By The Pound.pdf
Elton John,Elton John - Made In England,7,Elton John - Belfast.pdf
Elton John,Elton John - Peachtree Road,5,Elton John - Answer In The Sky.pdf
Elton John,Elton John - Reg Strikes Back,4,Elton John - Goodbye Marlon Brando.pdf
Elton John,Elton John - Sleeping With The Past,1,Elton John - Durban Deep.pdf
Elton John,Elton John - Songs From The West Coast,2,Elton John - Birds.pdf
Elton John,Elton John - The Big Picture,2,Elton John - Live Like Horses.pdf
Elton John,Elton John - The One,5,Elton John - Emily.pdf
Elton John,Elton John - The Ultimate Collection Vol. 1,19,Elton John And Bernie Taupin - Bad Side Of The Moon.pdf
Elton John,Elton John - The Ultimate Collection Vol. 2,19,Elton John And Bernie Taupin - Mona Lisas And Mad Hatters.pdf
Elton John,Elton John - The Very Best Of,1,Elton John - Your Song.pdf
Elton John,Elton John - Too Low For Zero [book],7,Elton John - Cold As Christmas (in The Middle Of The Year).pdf
Elton John,Goodbye Yellow Brick Road,1,"Elton John, Bernie Taupin - Funeral For A Friend.pdf"
Elton John,Greatest Hits 1970-2002,30,(from The Lion King) - Can You Feel The Love Tonight-.pdf
Elton John,Ice On Fire,11,Elton John And Bernie Taupin - Act Of War.pdf
Elton John,Made In England,11,Elton John - Made In England.pdf
Elton John,Peachtree Road,10,"Bernie Taupin (words By), Elton John (music By) - Too Many Tears.pdf"
Elton John,Reg Strikes Back,9,Elton John-arkin - Poor Cow.pdf
Elton John,Sleeping With The Past,1,Elton John & Taupin - Durban Deep.pdf
Elton John,Songs From The West Coast,1,Elton John - The Emperor's New Clothes.pdf
