BookName,CurrentArtist,CorrectArtist,CurrentPath,TargetPath,NeedsArtistRename,NeedsFolderRestructure
Bread - Best Of Bread,Bread,Bread,SheetMusic\Bread\Books\Bread - Best Of Bread.pdf,SheetMusic\Bread\Bread - Best Of Bread.pdf,False,True
Bruce Springsteen - Born In The USA,Bruce Springsteen,Bruce Springsteen,SheetMusic\Bruce Springsteen\Books\Bruce Springsteen - Born In The USA.pdf,SheetMusic\Bruce Springsteen\Bruce Springsteen - Born In The USA.pdf,False,True
Bruce Springsteen - Born To Run,Bruce Springsteen,Bruce Springsteen,SheetMusic\Bruce Springsteen\Books\Bruce Springsteen - Born To Run.pdf,SheetMusic\Bruce Springsteen\Bruce Springsteen - Born To Run.pdf,False,True
Bruce Springsteen - Greatest Hits,Bruce Springsteen,Bruce Springsteen,SheetMusic\Bruce Springsteen\Books\Bruce Springsteen - Greatest Hits.pdf,SheetMusic\Bruce Springsteen\Bruce Springsteen - Greatest Hits.pdf,False,True
Bruce Springsteen - Lucky Town,Bruce Springsteen,Bruce Springsteen,SheetMusic\Bruce Springsteen\Books\Bruce Springsteen - Lucky Town.pdf,SheetMusic\Bruce Springsteen\Bruce Springsteen - Lucky Town.pdf,False,True
Buddy Holly - Golden Anniversary Songbook,Buddy Holly,Buddy Holly,SheetMusic\Buddy Holly\Books\Buddy Holly - Golden Anniversary Songbook.pdf,SheetMusic\Buddy Holly\Buddy Holly - Golden Anniversary Songbook.pdf,False,True
Burl Ives - Song Book,Burl Ives,Burl Ives,SheetMusic\Burl Ives\Books\Burl Ives - Song Book.pdf,SheetMusic\Burl Ives\Burl Ives - Song Book.pdf,False,True
Burt Bacharach - 40 Golden Songs Of,Burt Bacharach,Burt Bacharach,SheetMusic\Burt Bacharach\Books\Burt Bacharach - 40 Golden Songs Of.pdf,SheetMusic\Burt Bacharach\Burt Bacharach - 40 Golden Songs Of.pdf,False,True
Burt Bacharach - Anthology,Burt Bacharach,Burt Bacharach,SheetMusic\Burt Bacharach\Books\Burt Bacharach - Anthology.pdf,SheetMusic\Burt Bacharach\Burt Bacharach - Anthology.pdf,False,True
Burt Bacharach - Bacharach Collection,Burt Bacharach,Burt Bacharach,SheetMusic\Burt Bacharach\Books\Burt Bacharach - Bacharach Collection.pdf,SheetMusic\Burt Bacharach\Burt Bacharach - Bacharach Collection.pdf,False,True
Carole King - Bradleys Best Of The Best _Organ_,Carole King,Carole King,SheetMusic\Carole King\Books\Carole King - Bradleys Best Of The Best _Organ_.pdf,SheetMusic\Carole King\Carole King - Bradleys Best Of The Best _Organ_.pdf,False,True
Carole King - Classics _2_,Carole King,Carole King,SheetMusic\Carole King\Books\Carole King - Classics _2_.pdf,SheetMusic\Carole King\Carole King - Classics _2_.pdf,False,True
Carole King - Classics _3_,Carole King,Carole King,SheetMusic\Carole King\Books\Carole King - Classics _3_.pdf,SheetMusic\Carole King\Carole King - Classics _3_.pdf,False,True
Carole King - Classics,Carole King,Carole King,SheetMusic\Carole King\Books\Carole King - Classics.pdf,SheetMusic\Carole King\Carole King - Classics.pdf,False,True
Carole King - Keyboard Play-Along Vol 22,Carole King,Carole King,SheetMusic\Carole King\Books\Carole King - Keyboard Play-Along Vol 22.pdf,SheetMusic\Carole King\Carole King - Keyboard Play-Along Vol 22.pdf,False,True
Carole King - Tapestry,Carole King,Carole King,SheetMusic\Carole King\Books\Carole King - Tapestry.pdf,SheetMusic\Carole King\Carole King - Tapestry.pdf,False,True
Carole King - The New Best Of Carole King,Carole King,Carole King,SheetMusic\Carole King\Books\Carole King - The New Best Of Carole King.pdf,SheetMusic\Carole King\Carole King - The New Best Of Carole King.pdf,False,True
Carole King - Youre The Voice,Carole King,Carole King,SheetMusic\Carole King\Books\Carole King - Youre The Voice.pdf,SheetMusic\Carole King\Carole King - Youre The Voice.pdf,False,True
Carpenters - Anthology,Carpenters,Carpenters,SheetMusic\Carpenters\Books\Carpenters - Anthology.pdf,SheetMusic\Carpenters\Carpenters - Anthology.pdf,False,True
Carpenters - Love Songs,Carpenters,Carpenters,SheetMusic\Carpenters\Books\Carpenters - Love Songs.pdf,SheetMusic\Carpenters\Carpenters - Love Songs.pdf,False,True
Carpenters - Note For Note,Carpenters,Carpenters,SheetMusic\Carpenters\Books\Carpenters - Note For Note.pdf,SheetMusic\Carpenters\Carpenters - Note For Note.pdf,False,True
Cheap Trick - Greatest Hits _Score_,Cheap Trick,Cheap Trick,SheetMusic\Cheap Trick\Books\Cheap Trick - Greatest Hits _Score_.pdf,SheetMusic\Cheap Trick\Cheap Trick - Greatest Hits _Score_.pdf,False,True
Colbie Caillat - Breakthrough _PVG Book_,Colbie Caillat,Colbie Caillat,SheetMusic\Colbie Caillat\Books\Colbie Caillat - Breakthrough _PVG Book_.pdf,SheetMusic\Colbie Caillat\Colbie Caillat - Breakthrough _PVG Book_.pdf,False,True
Cole Porter - The Very Best Of Cole Porter,Cole Porter,Cole Porter,SheetMusic\Cole Porter\Books\Cole Porter - The Very Best Of Cole Porter.pdf,SheetMusic\Cole Porter\Cole Porter - The Very Best Of Cole Porter.pdf,False,True
Cream - Cream Complete,Cream,Cream,SheetMusic\Cream\Books\Cream - Cream Complete.pdf,SheetMusic\Cream\Cream - Cream Complete.pdf,False,True
Creedence Clearwater Revival - 8 Pcs Book,Creedence Clearwater Revival,Creedence Clearwater Revival,SheetMusic\Creedence Clearwater Revival\Books\Creedence Clearwater Revival - 8 Pcs Book.pdf,SheetMusic\Creedence Clearwater Revival\Creedence Clearwater Revival - 8 Pcs Book.pdf,False,True
Creedence Clearwater Revival - Best Of,Creedence Clearwater Revival,Creedence Clearwater Revival,SheetMusic\Creedence Clearwater Revival\Books\Creedence Clearwater Revival - Best Of.pdf,SheetMusic\Creedence Clearwater Revival\Creedence Clearwater Revival - Best Of.pdf,False,True
Creedence Clearwater Revival - Guitar Anthology,Creedence Clearwater Revival,Creedence Clearwater Revival,SheetMusic\Creedence Clearwater Revival\Books\Creedence Clearwater Revival - Guitar Anthology.pdf,SheetMusic\Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Anthology.pdf,False,True
Creedence Clearwater Revival - Guitar Tab Book,Creedence Clearwater Revival,Creedence Clearwater Revival,SheetMusic\Creedence Clearwater Revival\Books\Creedence Clearwater Revival - Guitar Tab Book.pdf,SheetMusic\Creedence Clearwater Revival\Creedence Clearwater Revival - Guitar Tab Book.pdf,False,True
Creedence Clearwater Revival - Ultimate Minus One,Creedence Clearwater Revival,Creedence Clearwater Revival,SheetMusic\Creedence Clearwater Revival\Books\Creedence Clearwater Revival - Ultimate Minus One.pdf,SheetMusic\Creedence Clearwater Revival\Creedence Clearwater Revival - Ultimate Minus One.pdf,False,True
Crosby Stills Nash And Young - Deja Vu _PVG Book_,Crosby Stills and Nash,Crosby Stills And Nash,SheetMusic\Crosby Stills and Nash\Books\Crosby Stills Nash And Young - Deja Vu _PVG Book_.pdf,SheetMusic\Crosby Stills And Nash\Crosby Stills Nash And Young - Deja Vu _PVG Book_.pdf,True,True
Crosby Stills Nash And Young - The Guitar Collection,Crosby Stills and Nash,Crosby Stills And Nash,SheetMusic\Crosby Stills and Nash\Books\Crosby Stills Nash And Young - The Guitar Collection.pdf,SheetMusic\Crosby Stills And Nash\Crosby Stills Nash And Young - The Guitar Collection.pdf,True,True
Crowded House - The Very Best Of _PVG Book_,Crowded House,Crowded House,SheetMusic\Crowded House\Books\Crowded House - The Very Best Of _PVG Book_.pdf,SheetMusic\Crowded House\Crowded House - The Very Best Of _PVG Book_.pdf,False,True
Crowded House - Together Alone _PVG Book_,Crowded House,Crowded House,SheetMusic\Crowded House\Books\Crowded House - Together Alone _PVG Book_.pdf,SheetMusic\Crowded House\Crowded House - Together Alone _PVG Book_.pdf,False,True
David Crosby - Songbook _Lead Sheets_,David Crosby,David Crosby,SheetMusic\David Crosby\Books\David Crosby - Songbook _Lead Sheets_.pdf,SheetMusic\David Crosby\David Crosby - Songbook _Lead Sheets_.pdf,False,True
Dire Straits - Best Of Dire Straits _Guitar Tab_,Dire Straits,Dire Straits,SheetMusic\Dire Straits\Books\Dire Straits - Best Of Dire Straits _Guitar Tab_.pdf,SheetMusic\Dire Straits\Dire Straits - Best Of Dire Straits _Guitar Tab_.pdf,False,True
Dire Straits - Brothers In Arms,Dire Straits,Dire Straits,SheetMusic\Dire Straits\Books\Dire Straits - Brothers In Arms.pdf,SheetMusic\Dire Straits\Dire Straits - Brothers In Arms.pdf,False,True
