Artist,BookName,SourcePath,SourceExists,ProcessedFolderName,ProcessedPath,ProcessedExists,FileCount,Status
Bruce Springsteen,Bruce Springsteen - Greatest Hits,Bruce Springsteen\Bruce Springsteen - Greatest Hits.pdf,YES,Bruce Springsteen - Greatest Hits,Bruce Springsteen\Bruce Springsteen - Greatest Hits,YES,13,COMPLETE
Bruce Springsteen,Bruce Springsteen - Lucky Town,Bruce Springsteen\Bruce Springsteen - Lucky Town.pdf,YES,Bruce Springsteen - Lucky Town,Bruce Springsteen\Bruce Springsteen - Lucky Town,YES,9,COMPLETE
Buddy Holly,Buddy Holly - Golden Anniversary Songbook,Buddy Holly\Buddy Holly - Golden Anniversary Songbook.pdf,YES,Buddy Holly - Golden Anniversary Songbook,Buddy Holly\Buddy Holly - Golden Anniversary Songbook,YES,28,COMPLETE
Burl Ives,Burl Ives - Song Book,Burl Ives\Burl Ives - Song Book.pdf,YES,Burl Ives - Song Book,Burl Ives\Burl Ives - Song Book,YES,106,COMPLETE
Burt Bacharach,Burt Bacharach - 40 Golden Songs Of,Burt Bacharach\Burt Bacharach - 40 Golden Songs Of.pdf,YES,Burt Bacharach - 40 Golden Songs Of,Burt Bacharach\Burt Bacharach - 40 Golden Songs Of,YES,40,COMPLETE
Burt Bacharach,Burt Bacharach - Anthology,Burt Bacharach\Burt Bacharach - Anthology.pdf,YES,Burt Bacharach - Anthology,Burt Bacharach\Burt Bacharach - Anthology,YES,33,COMPLETE
Burt Bacharach,Burt Bacharach - Bacharach Collection,Burt Bacharach\Burt Bacharach - Bacharach Collection.pdf,YES,Burt Bacharach - Bacharach Collection,Burt Bacharach\Burt Bacharach - Bacharach Collection,YES,15,COMPLETE
Carole King,Carole King - Bradleys Best Of The Best _Organ_,Carole King\Carole King - Bradleys Best Of The Best _Organ_.pdf,YES,Carole King - Bradleys Best Of The Best _Organ_,Carole King\Carole King - Bradleys Best Of The Best _Organ_,YES,13,COMPLETE
Carole King,Carole King - Classics,Carole King\Carole King - Classics.pdf,YES,Carole King - Classics,Carole King\Carole King - Classics,YES,21,COMPLETE
Carole King,Carole King - Classics _2_,Carole King\Carole King - Classics _2_.pdf,YES,Carole King - Classics _2_,Carole King\Carole King - Classics _2_,YES,35,COMPLETE
Carole King,Carole King - Classics _3_,Carole King\Carole King - Classics _3_.pdf,YES,Carole King - Classics _3_,Carole King\Carole King - Classics _3_,YES,35,COMPLETE
