"Artist","BookName","SourcePath","HasFolder","HasPDFs","Status"
"James Taylor","James Taylor - James Taylor Songbook","C:\Work\AWSMusic\SheetMusic\James Taylor\Books\James Taylor - James Taylor Songbook.pdf","False","False","Missing"
"James Taylor","James Taylor - James Taylor [PVG Book]","C:\Work\AWSMusic\SheetMusic\James Taylor\Books\James Taylor - James Taylor [PVG Book].pdf","False","False","Missing"
"James Taylor","James Taylor - That's Why I'm Here [PVG Book]","C:\Work\AWSMusic\SheetMusic\James Taylor\Books\James Taylor - That's Why I'm Here [PVG Book].pdf","False","False","Missing"
"Jim Croce","Jim Croce - Acoustic Fingerstyle Video Guitar Lessons","C:\Work\AWSMusic\SheetMusic\Jim Croce\Books\Jim Croce - Acoustic Fingerstyle Video Guitar Lessons.pdf","False","False","Missing"
"Jimmy Buffet","Jimmy Buffett - Barometer Soup [PVG Book]","C:\Work\AWSMusic\SheetMusic\Jimmy Buffet\Books\Jimmy Buffett - Barometer Soup [PVG Book].pdf","True","False","Empty"
"Jimmy Buffet","Jimmy Buffett - Fruitcakes [PVG Book]","C:\Work\AWSMusic\SheetMusic\Jimmy Buffet\Books\Jimmy Buffett - Fruitcakes [PVG Book].pdf","True","False","Empty"
"Joe Cocker","Joe Cocker - Best Of","C:\Work\AWSMusic\SheetMusic\Joe Cocker\Books\Joe Cocker - Best Of.pdf","False","False","Missing"
"Joe Cocker","Joe Cocker - Mad Dogs And Englishmen [Book]","C:\Work\AWSMusic\SheetMusic\Joe Cocker\Books\Joe Cocker - Mad Dogs And Englishmen [Book].pdf","False","False","Missing"
"Joe Cocker","Joe Cocker - Songbook","C:\Work\AWSMusic\SheetMusic\Joe Cocker\Books\Joe Cocker - Songbook.pdf","False","False","Missing"
"John Denver","John Denver - Anthology [PVG]","C:\Work\AWSMusic\SheetMusic\John Denver\Books\John Denver - Anthology [PVG].pdf","False","False","Missing"
"John Denver","John Denver - Anthology","C:\Work\AWSMusic\SheetMusic\John Denver\Books\John Denver - Anthology.pdf","False","False","Missing"
"John Denver","John Denver - Back Home Again","C:\Work\AWSMusic\SheetMusic\John Denver\Books\John Denver - Back Home Again.pdf","False","False","Missing"
"John Denver","John Denver - Best Of [Easy Piano]","C:\Work\AWSMusic\SheetMusic\John Denver\Books\John Denver - Best Of [Easy Piano].pdf","False","False","Missing"
