artist,expected_book,expected_count,status,keep_folder,delete_folders,notes
Eagles,Eagles - The Best Of The Eagles - Songbook,12,DUPLICATE,The Best Of The Eagles - Songbook,Eagles - The Best Of The Eagles - Songbook,"Keep 12 songs, delete 3 songs from 1 folders"
Elton John,Elton John - A Single Man,10,DUPLICATE,A Single Man,Elton John - A Single Man,"Keep 10 songs, delete 6 songs from 1 folders"
Elton John,Elton John - Captain Fantastic,1,OK,Captain Fantastic,,"Single folder, 1 songs"
Elton John,Elton John - Goodbye Yellow Brick Road,2,DUPLICATE,Elton John - Goodbye Yellow Brick Road,Goodbye Yellow Brick Road,"Keep 2 songs, delete 1 songs from 1 folders"
Elton John,Elton John - Greatest Hits 1970-2002,30,DUPLICATE,Greatest Hits 1970-2002,Elton John - Greatest Hits 1970-2002,"Keep 30 songs, delete 19 songs from 1 folders"
Elton John,Elton John - Ice On Fire,12,DUPLICATE,Ice On Fire,Elton John - Ice On Fire,"Keep 11 songs, delete 6 songs from 1 folders"
Elton John,Elton John - Made In England,11,DUPLICATE,Made In England,Elton John - Made In England,"Keep 11 songs, delete 7 songs from 1 folders"
Elton John,Elton John - Peachtree Road,10,DUPLICATE,Peachtree Road,Elton John - Peachtree Road,"Keep 10 songs, delete 5 songs from 1 folders"
Elton John,Elton John - Reg Strikes Back,9,DUPLICATE,Reg Strikes Back,Elton John - Reg Strikes Back,"Keep 9 songs, delete 4 songs from 1 folders"
Elton John,Elton John - Sleeping With The Past,1,DUPLICATE,Sleeping With The Past,Elton John - Sleeping With The Past,"Keep 1 songs, delete 1 songs from 1 folders"
Elton John,Elton John - Songs From The West Coast,3,DUPLICATE,Elton John - Songs From The West Coast,Songs From The West Coast,"Keep 2 songs, delete 1 songs from 1 folders"
Elton John,Elton John - The Big Picture,3,DUPLICATE,Elton John - The Big Picture,The Big Picture,"Keep 2 songs, delete 1 songs from 1 folders"
Elton John,Elton John - The Elton John Collection _Piano Solos_,22,MISSING,,,No matching folder found in S3
Elton John,Elton John - The One,5,DUPLICATE,Elton John - The One,The One,"Keep 5 songs, delete 1 songs from 1 folders"
Elton John,Elton John - The Ultimate Collection Vol 1,59,MISSING,,,No matching folder found in S3
Elton John,Elton John - The Ultimate Collection Vol 2,29,MISSING,,,No matching folder found in S3
Elton John,Elton John - The Very Best Of,1,DUPLICATE,The Very Best Of,Elton John - The Very Best Of,"Keep 1 songs, delete 1 songs from 1 folders"
Elton John,Elton John - Too Low For Zero _Book_,10,MISSING,,,No matching folder found in S3
Elvis Costello,Elvis Costello - The Very Best Of,42,DUPLICATE,The Very Best Of,Elvis Costello - The Very Best Of,"Keep 42 songs, delete 19 songs from 1 folders"
Elvis Presley,Elvis Presley - The Compleat _PVG Book_,0,MISSING,,,No matching folder found in S3
Emerson Lake and Palmer,Emerson Lake And Palmer - Black Book,2,MISSING,,,No matching folder found in S3
Emerson Lake and Palmer,Emerson Lake And Palmer - Greatest Hits,10,MISSING,,,No matching folder found in S3
Emerson Lake and Palmer,Emerson Lake And Palmer - Tarkus _Book_,13,MISSING,,,No matching folder found in S3
Emerson Lake and Palmer,Emerson Lake And Palmer - Trilogy _Book_,7,MISSING,,,No matching folder found in S3
Eric Clapton,Eric Clapton - Derek And The Dominos _Book_,14,MISSING,,,No matching folder found in S3
Eric Clapton,Eric Clapton - The Best Of Book,10,DUPLICATE,The Best Of Book,Eric Clapton - The Best Of Book,"Keep 10 songs, delete 6 songs from 1 folders"
Eric Clapton,Eric Clapton - The Cream Of Clapton,0,MISSING,,,No matching folder found in S3
Eric Clapton,Eric Clapton - Unplugged _Book_,14,MISSING,,,No matching folder found in S3
Fleetwood Mac,Fleetwood Mac - Anthology,27,DUPLICATE,Anthology,Fleetwood Mac - Anthology,"Keep 27 songs, delete 22 songs from 1 folders"
Fleetwood Mac,Fleetwood Mac - Deluxe Anthology,42,DUPLICATE,Deluxe Anthology,Anthology | Fleetwood Mac - Deluxe Anthology,"Keep 42 songs, delete 31 songs from 2 folders"
Fleetwood Mac,Fleetwood Mac - Fleetwood Mac Heroes Are Hard To Find,15,MISSING,,,No matching folder found in S3
Fleetwood Mac,Fleetwood Mac - Mirage,12,DUPLICATE,Mirage,Fleetwood Mac - Mirage,"Keep 12 songs, delete 7 songs from 1 folders"
Fleetwood Mac,Fleetwood Mac - Rumours,11,DUPLICATE,Rumours,Fleetwood Mac - Rumours,"Keep 11 songs, delete 5 songs from 1 folders"
Fleetwood Mac,Fleetwood Mac - Tango In The Night,12,DUPLICATE,Tango In The Night,Fleetwood Mac - Tango In The Night,"Keep 12 songs, delete 3 songs from 1 folders"
Fleetwood Mac,Fleetwood Mac - The Dance,13,DUPLICATE,The Dance,Fleetwood Mac - The Dance,"Keep 13 songs, delete 5 songs from 1 folders"
Frank Zappa,Frank Zappa - Hot Rats,2,OK,Frank Zappa - Hot Rats,,"Single folder, 2 songs"
Frank Zappa,Frank Zappa - Songbook Vol 1,17,DUPLICATE,Songbook Vol 1,Frank Zappa - Songbook Vol 1,"Keep 17 songs, delete 4 songs from 1 folders"
