"Artist","BookName","FolderPath","PDFCount"
"Tom Lehrer","Tom Lehrer - Book Covers","C:\Work\AWSMusic\ProcessedSongs\Tom Lehrer\Tom Lehrer - Book Covers","1"
"Tom Waits","Anthology","C:\Work\AWSMusic\ProcessedSongs\Tom Waits\Anthology","29"
"Toto","Best Of","C:\Work\AWSMusic\ProcessedSongs\Toto\Best Of","5"
"Toto","Collection","C:\Work\AWSMusic\ProcessedSongs\Toto\Collection","13"
"Traveling Wilburys","Volume 1","C:\Work\AWSMusic\ProcessedSongs\Traveling Wilburys\Volume 1","1"
"Van Morrison","Anthology","C:\Work\AWSMusic\ProcessedSongs\Van Morrison\Anthology","25"
"Van Morrison","Anthology (2)","C:\Work\AWSMusic\ProcessedSongs\Van Morrison\Anthology (2)","21"
"Van Morrison","Days Like These (book)","C:\Work\AWSMusic\ProcessedSongs\Van Morrison\Days Like These (book)","2"
"Various Artists","100 Songs For Kids - (easy Guitar Songbook)","C:\Work\AWSMusic\ProcessedSongs\Various Artists\100 Songs For Kids - (easy Guitar Songbook)","98"
"Various Artists","50 Platinum Country Hits","C:\Work\AWSMusic\ProcessedSongs\Various Artists\50 Platinum Country Hits","50"
"Various Artists","50's And 60's","C:\Work\AWSMusic\ProcessedSongs\Various Artists\50's And 60's","1"
"Various Artists","557 Standards (sheet Music - Piano)(2)","C:\Work\AWSMusic\ProcessedSongs\Various Artists\557 Standards (sheet Music - Piano)(2)","345"
"Various Artists","70's Collection - (57pp)","C:\Work\AWSMusic\ProcessedSongs\Various Artists\70's Collection - (57pp)","1"
"Various Artists","Adult Contemporary Hits Of The Nineties","C:\Work\AWSMusic\ProcessedSongs\Various Artists\Adult Contemporary Hits Of The Nineties","30"
"Various Artists","All Time Best Collection Vol 3","C:\Work\AWSMusic\ProcessedSongs\Various Artists\All Time Best Collection Vol 3","18"
"Various Artists","Best In Country Sheet Music","C:\Work\AWSMusic\ProcessedSongs\Various Artists\Best In Country Sheet Music","26"
"Various Artists","Best Rock Songs 2000-2005","C:\Work\AWSMusic\ProcessedSongs\Various Artists\Best Rock Songs 2000-2005","18"
"Various Artists","Biggest Pop Hits 1996-1997","C:\Work\AWSMusic\ProcessedSongs\Various Artists\Biggest Pop Hits 1996-1997","26"
