"Artist","ProcessedFolder","SongCount","HasSourceBook","SourceBookName","ProcessedPath"
"Acdc","Anthology","3","True","ACDC - Anthology","C:\Work\AWSMusic\ProcessedSongs\Acdc\Anthology"
"Adele","19 [pvg Book]","12","True","Adele - 19 [PVG Book]","C:\Work\AWSMusic\ProcessedSongs\Adele\19 [pvg Book]"
"Aerosmith","Aerosmith - Greatest Hits (songbook)","0","False","","C:\Work\AWSMusic\ProcessedSongs\Aerosmith\Aerosmith - Greatest Hits (songbook)"
"Aerosmith","Greatest Hits (songbook)","15","True","Aerosmith - Greatest Hits (Songbook)","C:\Work\AWSMusic\ProcessedSongs\Aerosmith\Greatest Hits (songbook)"
"Allman Brothers","Allman Brothers - Allman Brothers Band [pvg]","0","False","","C:\Work\AWSMusic\ProcessedSongs\Allman Brothers\Allman Brothers - Allman Brothers Band [pvg]"
"Allman Brothers","Allman Brothers - Best Of [pvg]","0","False","","C:\Work\AWSMusic\ProcessedSongs\Allman Brothers\Allman Brothers - Best Of [pvg]"
"Allman Brothers","Allman Brothers Band [pvg]","15","True","Allman Brothers - Allman Brothers Band [PVG]","C:\Work\AWSMusic\ProcessedSongs\Allman Brothers\Allman Brothers Band [pvg]"
"Allman Brothers","Band Best [score]","8","True","Allman Brothers - Band Best [Score]","C:\Work\AWSMusic\ProcessedSongs\Allman Brothers\Band Best [score]"
"Allman Brothers","Best Of [pvg]","28","True","Allman Brothers - Best Of [PVG]","C:\Work\AWSMusic\ProcessedSongs\Allman Brothers\Best Of [pvg]"
"America","America [pvg Book]","12","True","America - America [PVG Book]","C:\Work\AWSMusic\ProcessedSongs\America\America [pvg Book]"
"America","Greatest Hits","12","True","America - Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\America\Greatest Hits"
"America","Greatest Hits [book]","4","True","America - Greatest Hits [Book] ","C:\Work\AWSMusic\ProcessedSongs\America\Greatest Hits [book]"
"Asia","Alpha [pvg Book]","11","True","Asia - Alpha [PVG Book]","C:\Work\AWSMusic\ProcessedSongs\Asia\Alpha [pvg Book]"
"Asia","Asia - Alpha [pvg Book]","4","False","","C:\Work\AWSMusic\ProcessedSongs\Asia\Asia - Alpha [pvg Book]"
"Avril Lavigne","Avril Lavigne - The Best Damn Thing [pvg Book]","4","False","","C:\Work\AWSMusic\ProcessedSongs\Avril Lavigne\Avril Lavigne - The Best Damn Thing [pvg Book]"
"Avril Lavigne","The Best Damn Thing [pvg Book]","12","True","Avril Lavigne - The Best Damn Thing [PVG Book]","C:\Work\AWSMusic\ProcessedSongs\Avril Lavigne\The Best Damn Thing [pvg Book]"
