from_artist,from_book,to_artist,to_book,match_quality,song_count
Steve Miller Band,Rock Best Hits [jap Score],Steve Miller Band,Steve Miller Band - Rock Best Hits _Jap Score_,PERFECT,8
Steve Winwood,Arc Of A Diver [pvg Book],Steve Winwood,Steve Winwood - Arc Of A Diver _PVG Book_,PERFECT,7
Steve Winwood,The Great Songs Of,Steve Winwood,Steve Winwood - The Great Songs Of,PERFECT,8
Supertramp,Anthology,Supertramp,Supertramp - Anthology,PERFECT,2
Supertramp,Breakfast In America [pvg Book],Supertramp,Supertramp - Breakfast In America _PVG Book_,PERFECT,10
Supertramp,Crime Of The Century [book],Supertramp,Supertramp - Crime Of The Century _Book_,PERFECT,8
Survivor,Greatest Hits,Survivor,Survivor - Greatest Hits,PERFECT,10
Taylor Swift,Best Of [easy Piano],Taylor Swift,Taylor Swift - Best Of _Easy Piano_,PERFECT,12
Taylor Swift,Fearless [pvg Book],Taylor Swift,Taylor Swift - Fearless _PVG Book_,PERFECT,16
Taylor Swift,Speak Now [pvg Book],Taylor Swift,Taylor Swift - Speak Now _PVG Book_,PERFECT,14
Taylor Swift,Taylor Swift [guitar Compilation],Taylor Swift,Taylor Swift - Taylor Swift,PERFECT,11
Taylor Swift,Taylor Swift [guitar Compilation],Taylor Swift,Taylor Swift - Taylor Swift _Guitar Compilation_,PERFECT,11
The Band,Band - Northern Lights Southern Cross [pvg],The Band,Band - Northern Lights Southern Cross _PVG_,PERFECT,8
The Band,Band - Stage Fright [pvg],The Band,Band - Stage Fright _PVG_,PERFECT,11
