action,book_id,old_source_uri,new_source_uri,old_artist,new_artist,old_book_name,new_book_name,old_status,new_status,match_score,uri_changed,artist_changed,book_name_changed,status_changed
update,789c81e4290c70c6,s3://jsmith-input/SheetMusic/Herman's Hermits/books/Herman's Hermits -  Collection.pdf,s3://jsmith-input/SheetMusic/Herman's Hermits/Hermans Hermits - Collection.pdf,Herman's Hermits,Herman's Hermits,Herman's Hermits -  Collection,Hermans Hermits - Collection,success,success,0.989,YES,NO,YES,NO
update,3bb256a379a49cbd,s3://jsmith-input/SheetMusic/Jackson Browne/books/Jackson Browne - Deluxe Anthology.pdf,s3://jsmith-input/SheetMusic/Jackson Browne/Jackson Browne - Deluxe Anthology.pdf,Jackson Browne,Jackson Browne,Jackson Browne - Deluxe Anthology,Jackson Browne - Deluxe Anthology,success,success,0.990,YES,NO,NO,NO
update,f158514fd9e1799e,s3://jsmith-input/SheetMusic/James Blunt/books/James Blunt - All The Lost Souls [Book].pdf,s3://jsmith-input/SheetMusic/James Blunt/James Blunt - All The Lost Souls _Book_.pdf,James Blunt,James Blunt,James Blunt - All The Lost Souls [Book],James Blunt - All The Lost Souls _Book_,success,success,0.990,YES,NO,YES,NO
update,d009f571784798e6,s3://jsmith-input/SheetMusic/James Blunt/books/James Blunt - Back to Bedlam [Book].pdf,s3://jsmith-input/SheetMusic/James Blunt/James Blunt - Back To Bedlam _Book_.pdf,James Blunt,James Blunt,James Blunt - Back to Bedlam [Book],James Blunt - Back To Bedlam _Book_,success,success,0.989,YES,NO,YES,NO
update,3a959a69aae2a6d5,s3://jsmith-input/SheetMusic/James Taylor/books/James Taylor - Classic [Guitar].pdf,s3://jsmith-input/SheetMusic/James Taylor/James Taylor - Classic _Guitar_.pdf,James Taylor,James Taylor,James Taylor - Classic [Guitar],James Taylor - Classic _Guitar_,success,success,0.989,YES,NO,YES,NO
update,86e908fafb628822,s3://jsmith-input/SheetMusic/James Taylor/books/James Taylor - Classics (guitar tab).pdf,s3://jsmith-input/SheetMusic/James Taylor/James Taylor - Classics _guitar tab_.pdf,James Taylor,James Taylor,James Taylor - Classics (guitar tab),James Taylor - Classics _guitar tab_,success,success,0.990,YES,NO,YES,NO
update,7be2c96a546e284d,s3://jsmith-input/SheetMusic/James Taylor/books/James Taylor - Guitar Songbook.pdf,s3://jsmith-input/SheetMusic/James Taylor/James Taylor - Guitar Songbook.pdf,James Taylor,James Taylor,James Taylor - Guitar Songbook,James Taylor - Guitar Songbook,success,success,0.989,YES,NO,NO,NO
update,8900a3baf69054fc,s3://jsmith-input/SheetMusic/James Taylor/books/James Taylor - James Taylor Songbook.pdf,s3://jsmith-input/SheetMusic/James Taylor/James Taylor - James Taylor Songbook.pdf,James Taylor,James Taylor,James Taylor - James Taylor Songbook,James Taylor - James Taylor Songbook,success,success,0.990,YES,NO,NO,NO
update,1910510b62d1e36a,s3://jsmith-input/SheetMusic/James Taylor/books/James Taylor - James Taylor [PVG Book].pdf,s3://jsmith-input/SheetMusic/James Taylor/James Taylor - James Taylor _PVG Book_.pdf,James Taylor,James Taylor,James Taylor - James Taylor [PVG Book],James Taylor - James Taylor _PVG Book_,success,success,0.990,YES,NO,YES,NO
update,cb834399a778cfa3,s3://jsmith-input/SheetMusic/James Taylor/books/James Taylor - That's Why I'm Here [PVG Book].pdf,s3://jsmith-input/SheetMusic/James Taylor/James Taylor - Thats Why Im Here _PVG Book_.pdf,James Taylor,James Taylor,James Taylor - That's Why I'm Here [PVG Book],James Taylor - Thats Why Im Here _PVG Book_,success,success,0.991,YES,NO,YES,NO
update,36de646b9e4e1042,s3://jsmith-input/SheetMusic/Jim Croce/books/Jim Croce - Acoustic Fingerstyle Video Guitar Lessons.pdf,s3://jsmith-input/SheetMusic/Jim Croce/Jim Croce - Acoustic Fingerstyle Video Guitar Lessons.pdf,Jim Croce,Jim Croce,Jim Croce - Acoustic Fingerstyle Video Guitar Lessons,Jim Croce - Acoustic Fingerstyle Video Guitar Lessons,success,success,0.992,YES,NO,NO,NO
update,65e67ab622789587,s3://jsmith-input/SheetMusic/Jimmy Buffet/books/Jimmy Buffett - Barometer Soup [PVG Book].pdf,s3://jsmith-input/SheetMusic/Jimmy Buffet/Jimmy Buffett - Barometer Soup _PVG Book_.pdf,Jimmy Buffet,Jimmy Buffet,Jimmy Buffett - Barometer Soup [PVG Book],Jimmy Buffett - Barometer Soup _PVG Book_,success,success,0.991,YES,NO,YES,NO
update,c2b43b65c242c991,s3://jsmith-input/SheetMusic/Jimmy Buffet/books/Jimmy Buffett - Fruitcakes [PVG Book].pdf,s3://jsmith-input/SheetMusic/Jimmy Buffet/Jimmy Buffett - Fruitcakes _PVG Book_.pdf,Jimmy Buffet,Jimmy Buffet,Jimmy Buffett - Fruitcakes [PVG Book],Jimmy Buffett - Fruitcakes _PVG Book_,success,success,0.990,YES,NO,YES,NO
