local_artist,local_book,local_count,s3_artist,s3_book,s3_count,common_files,local_only,s3_only,match_pct,count_diff_pct,quality
Frank Zappa,Frank Zappa - The Frank Zappa Guitar Book _transcriptions By Steve Vai_,12,Frank Zappa,The Frank Zappa Guitar Book (transcriptions By Steve Vai),12,12,0,0,1.000,0.000,PERFECT
Fray,Fray - How To Save A Life _Book_,3,,,0,0,3,0,0.000,1.000,NO_MATCH
Garth Brooks,Garth Brooks - No Fences _Guitar Tab_,7,Garth Brooks,No Fences [guitar Tab],7,7,0,0,1.000,0.000,PERFECT
Garth Brooks,Garth Brooks - The Hits _Guitar Tab_,1,Garth Brooks,Garth Brooks - The Hits [guitar Tab],1,1,0,0,1.000,0.000,PERFECT
Garth Brooks,Garth Brooks - The Limited Series,21,Garth Brooks,The Limited Series,21,21,0,0,1.000,0.000,PERFECT
Genesis,Genesis - A Trick Of The Tail _Book_,8,Genesis,A Trick Of The Tail [book],8,8,0,0,1.000,0.000,PERFECT
Genesis,Genesis - Anthology,44,Genesis,Anthology,44,44,0,0,1.000,0.000,PERFECT
Genesis,Genesis - Best Of Vol 1,10,Genesis,Best Of Vol 1,10,10,0,0,1.000,0.000,PERFECT
Genesis,Genesis - Invisible Touch _Book_,8,Genesis,Invisible Touch [book],8,8,0,0,1.000,0.000,PERFECT
Genesis,Genesis - Rock Score,4,Genesis,Rock Score,4,4,0,0,1.000,0.000,PERFECT
Genesis,Genesis - Seconds Out,8,Genesis,Seconds Out,8,8,0,0,1.000,0.000,PERFECT
Genesis,Genesis - Selling England By The Pound,7,Genesis,Selling England By The Pound,7,7,0,0,1.000,0.000,PERFECT
George Michael,George Michael - Greatest Hits,29,George Michael,Greatest Hits,29,29,0,0,1.000,0.000,PERFECT
George Michael,George Michael - Older _Book_,11,George Michael,Older [book],11,11,0,0,1.000,0.000,PERFECT
Grand Funk Railroad,Grand Funk - Closer To Home _PVG Book_,5,Grand Funk Railroad,Grand Funk - Closer To Home [pvg Book],5,5,0,0,1.000,0.000,PERFECT
Grand Funk Railroad,Grand Funk - Were An American Band _PVG Book_,8,Grand Funk Railroad,Grand Funk - We're An American Band [pvg Book],8,8,0,0,1.000,0.000,PERFECT
Grand Funk Railroad,Grand Funk Railroad - Born To Die _PVG Book_,10,Grand Funk Railroad,Born To Die [pvg Book],10,10,0,0,1.000,0.000,PERFECT
Grand Funk Railroad,Grand Funk Railroad - Hits From Were An American Band Shinin On Phoenix _PVG_,23,Grand Funk Railroad,"Hits From We're An American Band, Shinin' On, Phoenix [pvg]",23,23,0,0,1.000,0.000,PERFECT
Harry Chapin,Harry Chapin - The Authentic Guitar Style Of _Guitar Tab_,9,Harry Chapin,The Authentic Guitar Style Of [guitar Tab],9,9,0,0,1.000,0.000,PERFECT
Henri Mancini,Henry Mancini - A Merry Mancini Christmas,13,Henri Mancini,Henry Mancini - A Merry Mancini Christmas,13,13,0,0,1.000,0.000,PERFECT
Herman's Hermits,Hermans Hermits - Collection,8,,,0,0,8,0,0.000,1.000,NO_MATCH
Jackson Browne,Jackson Browne - Deluxe Anthology,39,Jackson Browne,Deluxe Anthology,39,39,0,0,1.000,0.000,PERFECT
James Blunt,James Blunt - All The Lost Souls _Book_,10,James Blunt,All The Lost Souls [book],10,10,0,0,1.000,0.000,PERFECT
James Blunt,James Blunt - Back To Bedlam _Book_,1,James Blunt,Back To Bedlam [book],1,1,0,0,1.000,0.000,PERFECT
James Taylor,James Taylor - Classic _Guitar_,15,James Taylor,Classic [guitar],15,15,0,0,1.000,0.000,PERFECT
James Taylor,James Taylor - Classics _guitar tab_,15,James Taylor,Classics (guitar Tab),15,15,0,0,1.000,0.000,PERFECT
James Taylor,James Taylor - Guitar Songbook,24,James Taylor,Guitar Songbook,24,24,0,0,1.000,0.000,PERFECT
James Taylor,James Taylor - James Taylor Songbook,24,James Taylor,James Taylor Songbook,24,24,0,0,1.000,0.000,PERFECT
James Taylor,James Taylor - James Taylor _PVG Book_,21,James Taylor,James Taylor [pvg Book],21,21,0,0,1.000,0.000,PERFECT
James Taylor,James Taylor - Thats Why Im Here _PVG Book_,10,James Taylor,That's Why I'm Here [pvg Book],10,10,0,0,1.000,0.000,PERFECT
Jim Croce,Jim Croce - Acoustic Fingerstyle Video Guitar Lessons,1,Jim Croce,Acoustic Fingerstyle Video Guitar Lessons,1,1,0,0,1.000,0.000,PERFECT
Jimmy Buffet,Jimmy Buffett - Barometer Soup _PVG Book_,9,Jimmy Buffet,Jimmy Buffett - Barometer Soup [pvg Book],9,9,0,0,1.000,0.000,PERFECT
