"Artist","ProcessedFolder","ProcessedPath","SongCount","SourceBook","SourcePath","MatchType"
"Bob Dylan","Highway 61 Revisited","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Highway 61 Revisited","10","Bob Dylan - Highway 61 Revisited","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Highway 61 Revisited.pdf","1:1"
"Bob Dylan","Rock Score","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Rock Score","6","Bob Dylan - Rock Score","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Rock Score.pdf","1:1"
"Bob Dylan","Saved","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Saved","8","Bob Dylan - Saved","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Saved.pdf","1:1"
"Bob Dylan","Songbook","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\Songbook","47","Bob Dylan - Songbook","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - Songbook.pdf","1:1"
"Bob Dylan","The Harp Styles Of Bob Dylan [harmonica]","C:\Work\AWSMusic\ProcessedSongs\Bob Dylan\The Harp Styles Of Bob Dylan [harmonica]","12","Bob Dylan - The Harp Styles of Bob Dylan [Harmonica]","C:\Work\AWSMusic\SheetMusic\Bob Dylan\books\Bob Dylan - The Harp Styles of Bob Dylan [Harmonica].pdf","1:1"
"Bob Seger","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Bob Seger\Greatest Hits","14","Bob Seger - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Bob Seger\books\Bob Seger - Greatest Hits.pdf","1:1"
"Bob Seger","The New Best Of Bob Seger","C:\Work\AWSMusic\ProcessedSongs\Bob Seger\The New Best Of Bob Seger","5","Bob Seger - The New Best Of Bob Seger","C:\Work\AWSMusic\SheetMusic\Bob Seger\books\Bob Seger - The New Best Of Bob Seger.pdf","1:1"
"Bon Jovi","Best Of Bon Jovi","C:\Work\AWSMusic\ProcessedSongs\Bon Jovi\Best Of Bon Jovi","19","Bon Jovi - Best of Bon Jovi","C:\Work\AWSMusic\SheetMusic\Bon Jovi\books\Bon Jovi - Best of Bon Jovi.pdf","1:1"
"Bonnie Raitt","Bonnie Raitt - Nick Of Time [pvg Book]","C:\Work\AWSMusic\ProcessedSongs\Bonnie Raitt\Bonnie Raitt - Nick Of Time [pvg Book]","1","Bonnie Raitt - Nick Of Time [PVG Book]","C:\Work\AWSMusic\SheetMusic\Bonnie Raitt\books\Bonnie Raitt - Nick Of Time [PVG Book].pdf","1:1"
"Bonnie Raitt","Road Tested [pvg Book]","C:\Work\AWSMusic\ProcessedSongs\Bonnie Raitt\Road Tested [pvg Book]","22","Bonnie Raitt - Road Tested [PVG Book]","C:\Work\AWSMusic\SheetMusic\Bonnie Raitt\books\Bonnie Raitt - Road Tested [PVG Book].pdf","1:1"
"Bonnie Tyler","Hot Songs","C:\Work\AWSMusic\ProcessedSongs\Bonnie Tyler\Hot Songs","7","Bonnie Tyler - Hot Songs","C:\Work\AWSMusic\SheetMusic\Bonnie Tyler\books\Bonnie Tyler - Hot Songs.pdf","1:1"
"Bread","Best Of Bread","C:\Work\AWSMusic\ProcessedSongs\Bread\Best Of Bread","4","Bread - Best of Bread","C:\Work\AWSMusic\SheetMusic\Bread\books\Bread - Best of Bread.pdf","1:1"
"Bruce Springsteen","Born In The Usa","C:\Work\AWSMusic\ProcessedSongs\Bruce Springsteen\Born In The Usa","13","Bruce Springsteen - Born In The USA","C:\Work\AWSMusic\SheetMusic\Bruce Springsteen\books\Bruce Springsteen - Born In The USA.pdf","1:1"
"Bruce Springsteen","Born To Run","C:\Work\AWSMusic\ProcessedSongs\Bruce Springsteen\Born To Run","8","Bruce Springsteen - Born To Run","C:\Work\AWSMusic\SheetMusic\Bruce Springsteen\books\Bruce Springsteen - Born To Run.pdf","1:1"
"Bruce Springsteen","Greatest Hits","C:\Work\AWSMusic\ProcessedSongs\Bruce Springsteen\Greatest Hits","13","Bruce Springsteen - Greatest Hits","C:\Work\AWSMusic\SheetMusic\Bruce Springsteen\books\Bruce Springsteen - Greatest Hits.pdf","1:1"
"Bruce Springsteen","Lucky Town","C:\Work\AWSMusic\ProcessedSongs\Bruce Springsteen\Lucky Town","9","Bruce Springsteen - Lucky Town","C:\Work\AWSMusic\SheetMusic\Bruce Springsteen\books\Bruce Springsteen - Lucky Town.pdf","1:1"
"Buddy Holly","Golden Anniversary Songbook","C:\Work\AWSMusic\ProcessedSongs\Buddy Holly\Golden Anniversary Songbook","28","Buddy Holly - Golden Anniversary Songbook","C:\Work\AWSMusic\SheetMusic\Buddy Holly\books\Buddy Holly - Golden Anniversary Songbook.pdf","1:1"
"Burl Ives","Song Book","C:\Work\AWSMusic\ProcessedSongs\Burl Ives\Song Book","106","Burl Ives - Song Book","C:\Work\AWSMusic\SheetMusic\Burl Ives\books\Burl Ives - Song Book.pdf","1:1"
"Burt Bacharach","40 Golden Songs Of","C:\Work\AWSMusic\ProcessedSongs\Burt Bacharach\40 Golden Songs Of","40","Burt Bacharach - 40 Golden Songs Of","C:\Work\AWSMusic\SheetMusic\Burt Bacharach\books\Burt Bacharach - 40 Golden Songs Of.pdf","1:1"
"Burt Bacharach","Anthology","C:\Work\AWSMusic\ProcessedSongs\Burt Bacharach\Anthology","33","Burt Bacharach - Anthology","C:\Work\AWSMusic\SheetMusic\Burt Bacharach\books\Burt Bacharach - Anthology.pdf","1:1"
"Burt Bacharach","Bacharach Collection","C:\Work\AWSMusic\ProcessedSongs\Burt Bacharach\Bacharach Collection","15","Burt Bacharach - Bacharach Collection","C:\Work\AWSMusic\SheetMusic\Burt Bacharach\books\Burt Bacharach - Bacharach Collection.pdf","1:1"
"Carole King","Bradley's Best Of The Best (organ)","C:\Work\AWSMusic\ProcessedSongs\Carole King\Bradley's Best Of The Best (organ)","13","Carole King - Bradley's Best Of The Best (Organ)","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Bradley's Best Of The Best (Organ).pdf","1:1"
"Carole King","Classics","C:\Work\AWSMusic\ProcessedSongs\Carole King\Classics","21","Carole King - Classics","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Classics.pdf","1:1"
"Carole King","Classics (2)","C:\Work\AWSMusic\ProcessedSongs\Carole King\Classics (2)","35","Carole King - Classics (2)","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Classics (2).pdf","1:1"
"Carole King","Classics (3)","C:\Work\AWSMusic\ProcessedSongs\Carole King\Classics (3)","35","Carole King - Classics (3)","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Classics (3).pdf","1:1"
