Type,Needs_Rename,Artist,Old_Name,New_Name,Old_Path,New_Path,Status
FOLDER,YES,Various Artists,Songs Of The 60s [pvg],Songs Of The 60s _pvg_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\Songs Of The 60s [pvg],c:\Work\AWSMusic\ProcessedSongs\Various Artists\Songs Of The 60s _pvg_,MATCHED
PDF,YES,Various Artists,Various Artists - The 60s and 70s Rock Score,Various Artists - The 60s And 70s Rock Score,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - The 60s and 70s Rock Score.pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - The 60s And 70s Rock Score.pdf,MATCHED
PDF,YES,Various Artists,Various Artists - The Best Children's Songs Ever (Easy Piano),Various Artists - The Best Childrens Songs Ever _Easy Piano_,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - The Best Children's Songs Ever (Easy Piano).pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - The Best Childrens Songs Ever _Easy Piano_.pdf,MATCHED
FOLDER,YES,Various Artists,The Best Children's Songs Ever (easy Piano),The Best Childrens Songs Ever _easy Piano_,c:\Work\AWSMusic\ProcessedSongs\Various Artists\The Best Children's Songs Ever (easy Piano),c:\Work\AWSMusic\ProcessedSongs\Various Artists\The Best Childrens Songs Ever _easy Piano_,MATCHED
PDF,YES,Various Artists,Various Artists - The Greatest Love Songs of the 80s,Various Artists - The Greatest Love Songs Of The 80s,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - The Greatest Love Songs of the 80s.pdf,c:\Work\AWSMusic\SheetMusic\Various Artists\Books\Various Artists - The Greatest Love Songs Of The 80s.pdf,MATCHED
PDF,YES,Who,Who - Quadrophenia (PVG),Who - Quadrophenia _PVG_,c:\Work\AWSMusic\SheetMusic\Who\Books\Who - Quadrophenia (PVG).pdf,c:\Work\AWSMusic\SheetMusic\Who\Books\Who - Quadrophenia _PVG_.pdf,MATCHED
FOLDER,YES,Who,Who - Quadrophenia (PVG),Who - Quadrophenia _PVG_,c:\Work\AWSMusic\ProcessedSongs\Who\Who - Quadrophenia (PVG),c:\Work\AWSMusic\ProcessedSongs\Who\Who - Quadrophenia _PVG_,MATCHED
PDF,YES,Wings,Wings - London Town (PVG Book),Wings - London Town _PVG Book_,c:\Work\AWSMusic\SheetMusic\Wings\Books\Wings - London Town (PVG Book).pdf,c:\Work\AWSMusic\SheetMusic\Wings\Books\Wings - London Town _PVG Book_.pdf,MATCHED
FOLDER,YES,Wings,Wings - London Town (PVG Book),Wings - London Town _PVG Book_,c:\Work\AWSMusic\ProcessedSongs\Wings\Wings - London Town (PVG Book),c:\Work\AWSMusic\ProcessedSongs\Wings\Wings - London Town _PVG Book_,MATCHED
PDF,YES,Wings,Wings - Over America [PVG],Wings - Over America _PVG_,c:\Work\AWSMusic\SheetMusic\Wings\Books\Wings - Over America [PVG].pdf,c:\Work\AWSMusic\SheetMusic\Wings\Books\Wings - Over America _PVG_.pdf,MATCHED
FOLDER,YES,Wings,Wings - Over America [PVG],Wings - Over America _PVG_,c:\Work\AWSMusic\ProcessedSongs\Wings\Wings - Over America [PVG],c:\Work\AWSMusic\ProcessedSongs\Wings\Wings - Over America _PVG_,MATCHED
