Type,Input Path,Output Path,Similarity
Exact Match,Beatles\Beatles - Revolver _2_.pdf,Beatles/Beatles - Revolver _2_,100%
Exact Match,Beatles\Beatles - Rubber Soul.pdf,Beatles/Beatles - Rubber Soul,100%
Exact Match,Beatles\Beatles - Sergeant Peppers Lonely Hearts Club Band.pdf,Beatles/Beatles - Sergeant Peppers Lonely Hearts Club Band,100%
Exact Match,Beatles\Beatles - Singles Collection _PVG_.pdf,Beatles/Beatles - Singles Collection _PVG_,100%
Exact Match,Beatles\Beatles - Songbook.pdf,Beatles/Beatles - Songbook,100%
Exact Match,Beatles\Beatles - White Album 1 _Guitar Recorded Version_.pdf,Beatles/Beatles - White Album 1 _Guitar Recorded Version_,100%
Exact Match,Bee Gees\Bee Gees - Anthology.pdf,Bee Gees/Bee Gees - Anthology,100%
Exact Match,Belinda Carlisle\Belinda Carlisle - 5 Of The Best _PVG_.pdf,Belinda Carlisle/Belinda Carlisle - 5 Of The Best _PVG_,100%
Exact Match,Ben Folds\Ben Folds - Rockin The Suburbs _Book_.pdf,Ben Folds/Ben Folds - Rockin The Suburbs _Book_,100%
Exact Match,Ben Folds\Ben Folds - Songs For Silverman.pdf,Ben Folds/Ben Folds - Songs For Silverman,100%
Exact Match,Ben Folds\Ben Folds - Songs For The Silverman.pdf,Ben Folds/Ben Folds - Songs For The Silverman,100%
Exact Match,Ben Folds\Ben Folds Five - Rockin The Suburbs.pdf,Ben Folds/Ben Folds Five - Rockin The Suburbs,100%
Exact Match,Ben Folds\Ben Folds Five - Selections From Naked Baby Photos _Score_.pdf,Ben Folds/Ben Folds Five - Selections From Naked Baby Photos _Score_,100%
Exact Match,Ben Folds\Ben Folds Five - Whatever And Ever Amen _Book_.pdf,Ben Folds/Ben Folds Five - Whatever And Ever Amen _Book_,100%
Exact Match,Billy Joel\Billy Joel - 52nd Street.pdf,Billy Joel/Billy Joel - 52nd Street,100%
Exact Match,Billy Joel\Billy Joel - Anthology.pdf,Billy Joel/Billy Joel - Anthology,100%
Exact Match,Billy Joel\Billy Joel - Best Of Piano Solos.pdf,Billy Joel/Billy Joel - Best Of Piano Solos,100%
Exact Match,Billy Joel\Billy Joel - Complete Vol 1.pdf,Billy Joel/Billy Joel - Complete Vol 1,100%
Exact Match,Billy Joel\Billy Joel - Complete Vol 2.pdf,Billy Joel/Billy Joel - Complete Vol 2,100%
Exact Match,Billy Joel\Billy Joel - Fantasies And Delusions.pdf,Billy Joel/Billy Joel - Fantasies And Delusions,100%
Exact Match,Billy Joel\Billy Joel - For Advanced Piano.pdf,Billy Joel/Billy Joel - For Advanced Piano,100%
Exact Match,Billy Joel\Billy Joel - Glass Houses.pdf,Billy Joel/Billy Joel - Glass Houses,100%
Exact Match,Billy Joel\Billy Joel - Greatest Hits.pdf,Billy Joel/Billy Joel - Greatest Hits,100%
Exact Match,Billy Joel\Billy Joel - Greatest Hits Vol I And II.pdf,Billy Joel/Billy Joel - Greatest Hits Vol I And II,100%
Exact Match,Billy Joel\Billy Joel - Greatest Hits Vol III.pdf,Billy Joel/Billy Joel - Greatest Hits Vol III,100%
Exact Match,Billy Joel\Billy Joel - Keyboard Book.pdf,Billy Joel/Billy Joel - Keyboard Book,100%
Exact Match,Billy Joel\Billy Joel - My Lives.pdf,Billy Joel/Billy Joel - My Lives,100%
Exact Match,Billy Joel\Billy Joel - Rock Score.pdf,Billy Joel/Billy Joel - Rock Score,100%
Exact Match,Billy Joel\Billy Joel - Songs In The Attic.pdf,Billy Joel/Billy Joel - Songs In The Attic,100%
Exact Match,Billy Joel\Billy Joel - Turnstiles.pdf,Billy Joel/Billy Joel - Turnstiles,100%
Exact Match,Billy Joel\Billy Joel Greatest Hits Vols 1 And 2.pdf,Billy Joel/Billy Joel Greatest Hits Vols 1 And 2,100%
Exact Match,Billy Ocean\Billy Ocean - The Best Of.pdf,Billy Ocean/Billy Ocean - The Best Of,100%
Exact Match,Black Eyed Peas\Black Eyed Peas - Elephunk _PVG Book_.pdf,Black Eyed Peas/Black Eyed Peas - Elephunk _PVG Book_,100%
Exact Match,Blues Brothers\Blues Brothers - Complete.pdf,Blues Brothers/Blues Brothers - Complete,100%
Exact Match,Bob Dylan\Bob Dylan - Anthology.pdf,Bob Dylan/Bob Dylan - Anthology,100%
Exact Match,Bob Dylan\Bob Dylan - Anthology 1.pdf,Bob Dylan/Bob Dylan - Anthology 1,100%
