"Artist","BookName","SourcePath","HasProcessed","ProcessedFolder","SongCount"
"Carole King","Carole King - Bradley's Best Of The Best (Organ)","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Bradley's Best Of The Best (Organ).pdf","True","Bradley's Best Of The Best (organ)","13"
"Carole King","Carole King - Classics (2)","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Classics (2).pdf","True","Classics (2)","35"
"Carole King","Carole King - Classics (3)","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Classics (3).pdf","True","Classics (3)","35"
"Carole King","Carole King - Classics","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Classics.pdf","True","Classics","21"
"Carole King","Carole King - Keyboard Play-Along Vol 22","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Keyboard Play-Along Vol 22.pdf","True","Keyboard Play-along Vol 22","8"
"Carole King","Carole King - Tapestry","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - Tapestry.pdf","True","Tapestry","12"
"Carole King","Carole King - The New Best Of Carole King","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - The New Best Of Carole King.pdf","True","The New Best Of Carole King","19"
"Carole King","Carole King - You're The Voice","C:\Work\AWSMusic\SheetMusic\Carole King\books\Carole King - You're The Voice.pdf","True","You're The Voice","11"
"Carpenters","Carpenters - Anthology","C:\Work\AWSMusic\SheetMusic\Carpenters\books\Carpenters - Anthology.pdf","True","Anthology","43"
"Carpenters","Carpenters - Love Songs","C:\Work\AWSMusic\SheetMusic\Carpenters\books\Carpenters - Love Songs.pdf","True","Love Songs","22"
"Carpenters","Carpenters - Note For Note","C:\Work\AWSMusic\SheetMusic\Carpenters\books\Carpenters - Note For Note.pdf","True","Note For Note","11"
"Cheap Trick","Cheap Trick - Greatest Hits [Score]","C:\Work\AWSMusic\SheetMusic\Cheap Trick\books\Cheap Trick - Greatest Hits [Score].pdf","True","Greatest Hits [score]","0"
"Colbie Caillat","Colbie Caillat - Breakthrough [PVG Book]","C:\Work\AWSMusic\SheetMusic\Colbie Caillat\books\Colbie Caillat - Breakthrough [PVG Book].pdf","True","Breakthrough [pvg Book]","0"
"Cole Porter","Cole Porter - The Very Best Of Cole Porter","C:\Work\AWSMusic\SheetMusic\Cole Porter\books\Cole Porter - The Very Best Of Cole Porter.pdf","True","The Very Best Of Cole Porter","38"
"Cream","Cream - Cream Complete","C:\Work\AWSMusic\SheetMusic\Cream\books\Cream - Cream Complete.pdf","True","Cream Complete","25"
"Creedence Clearwater Revival","Creedence Clearwater Revival - 8 Pcs Book","C:\Work\AWSMusic\SheetMusic\Creedence Clearwater Revival\books\Creedence Clearwater Revival - 8 Pcs Book.pdf","True","8 Pcs Book","8"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Best Of","C:\Work\AWSMusic\SheetMusic\Creedence Clearwater Revival\books\Creedence Clearwater Revival - Best Of.pdf","True","Best Of","20"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Guitar Anthology","C:\Work\AWSMusic\SheetMusic\Creedence Clearwater Revival\books\Creedence Clearwater Revival - Guitar Anthology.pdf","True","Guitar Anthology","20"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Guitar Tab Book","C:\Work\AWSMusic\SheetMusic\Creedence Clearwater Revival\books\Creedence Clearwater Revival - Guitar Tab Book.pdf","True","Guitar Tab Book","1"
"Creedence Clearwater Revival","Creedence Clearwater Revival - Ultimate Minus One","C:\Work\AWSMusic\SheetMusic\Creedence Clearwater Revival\books\Creedence Clearwater Revival - Ultimate Minus One.pdf","True","Ultimate Minus One","7"
"Crosby Stills and Nash","Crosby Stills Nash & Young - Deja Vu [PVG Book]","C:\Work\AWSMusic\SheetMusic\Crosby Stills and Nash\books\Crosby Stills Nash & Young - Deja Vu [PVG Book].pdf","True","Crosby Stills Nash & Young - Deja Vu [pvg Book]","0"
"Crosby Stills and Nash","Crosby, Stills, Nash & Young - The Guitar Collection","C:\Work\AWSMusic\SheetMusic\Crosby Stills and Nash\books\Crosby, Stills, Nash & Young - The Guitar Collection.pdf","False","","0"
"Crowded House","Crowded House - The Very Best Of [PVG Book]","C:\Work\AWSMusic\SheetMusic\Crowded House\books\Crowded House - The Very Best Of [PVG Book].pdf","True","The Very Best Of [pvg Book]","0"
"Crowded House","Crowded House - Together Alone [PVG Book]","C:\Work\AWSMusic\SheetMusic\Crowded House\books\Crowded House - Together Alone [PVG Book].pdf","True","Together Alone [pvg Book]","0"
"David Crosby","David Crosby - Songbook [Lead Sheets]","C:\Work\AWSMusic\SheetMusic\David Crosby\books\David Crosby - Songbook [Lead Sheets].pdf","True","Songbook [lead Sheets]","0"
"Dire Straits","Dire Straits -  Brothers In Arms","C:\Work\AWSMusic\SheetMusic\Dire Straits\books\Dire Straits -  Brothers In Arms.pdf","True","Brothers In Arms","1"
"Dire Straits","Dire Straits - Best Of Dire Straits [Guitar Tab]","C:\Work\AWSMusic\SheetMusic\Dire Straits\books\Dire Straits - Best Of Dire Straits [Guitar Tab].pdf","True","Best Of Dire Straits [guitar Tab]","0"
"Dire Straits","Dire Straits - Jam with Dire Straits [Guitar Book]","C:\Work\AWSMusic\SheetMusic\Dire Straits\books\Dire Straits - Jam with Dire Straits [Guitar Book].pdf","True","Jam With Dire Straits [guitar Book]","0"
"Dire Straits","Dire Straits - Mark Knopfler Guitar Styles Vol 1 [Guitar Book]","C:\Work\AWSMusic\SheetMusic\Dire Straits\books\Dire Straits - Mark Knopfler Guitar Styles Vol 1 [Guitar Book].pdf","False","","0"
"Dire Straits","Dire Straits - Money For Nothing [Guitar Book]","C:\Work\AWSMusic\SheetMusic\Dire Straits\books\Dire Straits - Money For Nothing [Guitar Book].pdf","True","Money For Nothing [guitar Book]","0"
"Don Henley","Don Henley - Actual Miles (Greatest Hits)","C:\Work\AWSMusic\SheetMusic\Don Henley\books\Don Henley - Actual Miles (Greatest Hits).pdf","True","Actual Miles (greatest Hits)","1"
"Don Henley","Don Henley - The End Of The Innocence [PVG Book]","C:\Work\AWSMusic\SheetMusic\Don Henley\books\Don Henley - The End Of The Innocence [PVG Book].pdf","True","The End Of The Innocence [pvg Book]","0"
"Doobie Brothers","Doobie Brothers - Best Of [Band Score Jap]","C:\Work\AWSMusic\SheetMusic\Doobie Brothers\books\Doobie Brothers - Best Of [Band Score Jap].pdf","True","Best Of [band Score Jap]","0"
"Doobie Brothers","Doobie Brothers - Songs","C:\Work\AWSMusic\SheetMusic\Doobie Brothers\books\Doobie Brothers - Songs.pdf","True","Songs","9"
"Doors","Doors - Anthology","C:\Work\AWSMusic\SheetMusic\Doors\books\Doors - Anthology.pdf","True","Anthology","7"
"Doors","Doors - Songbook","C:\Work\AWSMusic\SheetMusic\Doors\books\Doors - Songbook.pdf","True","Songbook","6"
"Dr John","Dr John - New Orleans Piano Vol 2","C:\Work\AWSMusic\SheetMusic\Dr John\books\Dr John - New Orleans Piano Vol 2.pdf","True","New Orleans Piano Vol 2","3"
"Duran Duran","Duran Duran - Best Of [Score]","C:\Work\AWSMusic\SheetMusic\Duran Duran\books\Duran Duran - Best Of [Score].pdf","True","Best Of [score]","0"
